LOCATION CATEGORY,ADMINISTRATIVE DISTRICT,STH REMOVALS,STH PRINCIPAL,STH SUPERINTENDENT,STH EXPULSIONS,NON-STH REMOVALS,NON-STH PRINCIPAL,NON-STH SUPERINTENDENT,NON-STH EXPULSIONS
Elementary,1,*,*,*,*,*,*,*,*
Elementary,1,*,*,*,*,*,*,*,*
Elementary,1,*,*,*,*,11,*,*,*
K-8,1,8,6,*,*,18,17,11,*
Elementary,1,27,7,*,*,16,*,*,*
Elementary,1,*,*,*,*,*,*,*,*
Elementary,1,*,*,*,*,*,*,*,*
Elementary,1,*,*,*,*,*,*,*,*
Elementary,1,*,*,*,*,*,*,*,*
K-8,1,*,*,*,*,*,*,*,*
Elementary,1,*,*,*,*,*,*,*,*
K-8,1,*,*,*,*,*,*,*,*
K-8,1,*,10,6,*,6,12,13,*
Secondary School,1,*,*,*,*,*,13,*,*
Junior High-Intermediate-Middle,1,*,*,*,*,*,*,*,*
Elementary,1,*,*,*,*,*,*,*,*
Junior High-Intermediate-Middle,1,*,*,*,*,6,6,8,*
Junior High-Intermediate-Middle,1,14,7,*,*,16,7,*,*
Elementary,1,*,*,*,*,*,*,*,*
Elementary,1,*,*,*,*,*,*,*,*
Elementary,1,*,*,*,*,*,*,*,*
Junior High-Intermediate-Middle,1,*,*,*,*,*,8,*,*
Central-HQ-Citywide,1,*,*,*,*,*,*,*,*
High school,1,*,*,*,*,*,12,10,*
Secondary School,1,*,*,*,*,*,6,9,*
High school,1,*,*,*,*,*,*,*,*
High school,1,*,7,*,*,*,20,16,*
High school,1,*,*,*,*,*,*,*,*
K-12 all grades,1,*,*,*,*,*,14,*,*
High school,1,*,*,*,*,*,*,*,*
High school,1,*,*,*,*,*,*,*,*
Junior High-Intermediate-Middle,1,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,16,6,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,6,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
High school,2,*,*,*,*,*,8,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,9,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
Junior High-Intermediate-Middle,2,*,*,*,*,14,48,*,*
Elementary,2,*,*,*,*,15,*,*,*
Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,22,6,*,*
K-8,2,*,*,*,*,*,6,*,*
Elementary,2,*,*,*,*,*,*,*,*
Junior High-Intermediate-Middle,2,*,6,*,*,*,21,*,*
High school,2,*,*,*,*,23,41,6,*
High school,2,*,*,*,*,*,34,*,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,11,*,*,*
Elementary,2,*,*,*,*,8,*,*,*
Junior High-Intermediate-Middle,2,*,*,*,*,*,34,8,*
Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,6,*,*
Elementary,2,*,*,*,*,7,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
K-8,2,*,*,*,*,44,21,*,*
K-8,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
Secondary School,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
K-8,2,*,*,*,*,*,*,*,*
High school,2,*,*,*,*,*,13,*,*
Elementary,2,*,*,*,*,*,*,*,*
High school,2,*,*,*,*,*,43,7,*
High school,2,*,*,*,*,*,49,11,*
Junior High-Intermediate-Middle,2,*,*,*,*,*,9,*,*
Elementary,2,*,*,*,*,*,*,*,*
High school,2,*,*,*,*,*,*,7,*
High school,2,*,11,*,*,*,56,*,*
High school,2,*,*,*,*,*,12,*,*
High school,2,*,*,*,*,*,*,7,*
High school,2,*,*,*,*,*,11,*,*
High school,2,*,14,*,*,8,65,18,*
High school,2,*,6,*,*,*,36,*,*
Junior High-Intermediate-Middle,2,*,*,*,*,18,*,*,*
High school,2,*,*,*,*,*,*,*,*
High school,2,*,*,*,*,11,17,21,*
Elementary,2,*,*,*,*,*,*,*,*
Elementary,2,*,*,*,*,*,*,*,*
K-8,2,*,*,*,*,9,*,*,*
High school,2,*,7,*,*,*,33,15,*
High school,2,*,*,*,*,*,12,*,*
District Pre-K Center,2,*,*,*,*,*,*,*,*
High school,2,*,*,*,*,*,*,*,*
High school,2,*,*,*,*,8,65,7,*
High school,2,*,*,*,*,*,*,*,*
K-8,2,*,*,*,*,*,*,*,*
High school,2,*,*,*,*,*,13,10,*
High school,2,*,*,*,*,*,37,34,*
Secondary School,2,*,*,*,*,*,*,*,*
Secondary School,2,*,*,*,*,*,*,*,*
High school,2,*,*,*,*,*,12,*,*
High school,2,*,*,*,*,*,13,*,*
Secondary School,2,*,*,*,*,*,11,*,*
High school,2,*,*,*,*,*,16,*,*
High school,2,*,*,*,*,*,10,*,*
High school,2,*,*,*,*,*,11,*,*
High school,2,*,*,*,*,*,*,8,*
