School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2011-2012,BRONX,New York City Geographic District # 7,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,320700010343,Middle School,New York City,Public,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,4,0,0,0,1,0,1,0,0,0,0,0,2,0,0,16
2011-2012,BRONX,New York City Geographic District # 7,ACADEMY OF PUBLIC RELATIONS,320700010298,Middle School,New York City,Public,266,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,2,0,1,0,0,0,0,0,2,0,0,11
2011-2012,BRONX,New York City Geographic District # 7,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,320700011600,Senior High,New York City,Public,719,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,1,10,0,0,0,3,0,1,0,0,0,0,9,1,5,1,18
2011-2012,BRONX,New York City Geographic District # 7,BRONX DESIGN AND CONSTRUCTION ACADEMY,320700011522,Senior High,New York City,Public,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
2011-2012,BRONX,New York City Geographic District # 7,BRONX HAVEN HIGH SCHOOL,320700011381,Senior High,New York City,Public,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-2012,BRONX,New York City Geographic District # 7,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,320700011527,Senior High,New York City,Public,504,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,17,0,16,0,0,0,1,0,3,0,0,0,0,0,2,0,5,13
2011-2012,BRONX,New York City Geographic District # 7,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,320700011427,Senior High,New York City,Public,317,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,0,1,7,1,0,20
2011-2012,BRONX,New York City Geographic District # 7,CROTONA ACADEMY HIGH SCHOOL,320700011321,Senior High,New York City,Public,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District # 7,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,320700011520,Senior High,New York City,Public,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
2011-2012,BRONX,New York City Geographic District # 7,HEALTH OPPORTUNITIES HIGH SCHOOL,320700011670,Senior High,New York City,Public,587,0,0,0,0,0,3,0,0,0,3,1,0,0,1,4,1,0,0,18,1,11,0,0,0,3,0,2,0,0,0,0,3,7,1,3,92
2011-2012,BRONX,New York City Geographic District # 7,HOSTOS-LINCOLN ACADEMY OF SCIENCE,320700011500,Junior Senior School,New York City,Public,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2011-2012,BRONX,New York City Geographic District # 7,INTERNATIONAL COMMUNITY HIGH SCHOOL,320700011334,Senior High,New York City,Public,384,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,1,0,1,0,0,0,3,0,5,8
2011-2012,BRONX,New York City Geographic District # 7,JHS 151 LOU GEHRIG,320700010151,Middle School,New York City,Public,287,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,9,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1
2011-2012,BRONX,New York City Geographic District # 7,JHS 162 LOLA RODRIGUEZ DE TIO,320700010162,Middle School,New York City,Public,570,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,19,1,4,0,0,0,1,0,0,0,0,0,0,0,3,1,1,6
2011-2012,BRONX,New York City Geographic District # 7,JILL CHAIFETZ TRANSFER HIGH SCHOOL,320700011379,Senior High,New York City,Public,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-2012,BRONX,New York City Geographic District # 7,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,320700011473,Senior High,New York City,Public,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7
2011-2012,BRONX,New York City Geographic District # 7,MS 203,320700010203,Middle School,New York City,Public,279,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,3,1,7,0,0,1,1,0,1,0,0,0,0,0,4,2,1,1
2011-2012,BRONX,New York City Geographic District # 7,MS 223 LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,320700010223,Middle School,New York City,Public,494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,17,0,9,0,0,0,0,0,2,0,0,0,0,1,3,0,0,16
2011-2012,BRONX,New York City Geographic District # 7,NEW EXPLORERS HIGH SCHOOL,320700011547,Senior High,New York City,Public,385,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,3,0,30,0,11,0,0,0,3,0,5,0,0,0,0,3,3,3,1,23
2011-2012,BRONX,New York City Geographic District # 7,PERFORMANCE SCHOOL,320700010385,Elementary,New York City,Public,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2011-2012,BRONX,New York City Geographic District # 7,PS 1 COURTLANDT SCHOOL,320700010001,Elementary,New York City,Public,683,0,0,0,0,0,4,0,0,0,1,1,0,0,1,8,0,2,8,11,2,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3
2011-2012,BRONX,New York City Geographic District # 7,PS 154 JONATHAN D HYATT,320700010154,Elementary,New York City,Public,542,0,0,0,0,0,3,0,0,1,0,1,0,0,0,8,0,3,5,12,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11
2011-2012,BRONX,New York City Geographic District # 7,PS 157 GROVE HILL,320700010157,Elementary,New York City,Public,610,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District # 7,PS 161 PONCE DE LEON,320700010161,Elementary,New York City,Public,595,0,0,0,0,0,4,0,0,0,0,0,0,0,1,6,1,2,3,16,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
2011-2012,BRONX,New York City Geographic District # 7,PS 179,320700010179,Elementary,New York City,Public,399,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2011-2012,BRONX,New York City Geographic District # 7,PS 18 JOHN PETER ZENGER,320700010018,Elementary,New York City,Public,549,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2011-2012,BRONX,New York City Geographic District # 7,PS 25 BILINGUAL SCHOOL,320700010025,Elementary,New York City,Public,397,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
